Coach,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017
David Richman,North Dakota State,Summit,15,17,0.469,,,,2014-15,77,51,0.602,1,,,,77,51,0.602,1,,,
Matthew Driscoll,North Florida,A-Sun,14,19,0.424,,,,2009-10,147,150,0.495,1,,,,147,150,0.495,1,,,
Grant McCasland,North Texas,CUSA,20,18,0.526,,,,2017-18,20,18,0.526,,,,,40,30,0.571,,,,
Bill Coen,Northeastern,CAA,23,10,0.697,,,,2006-07,201,186,0.519,1,,,,201,186,0.519,1,,,
Jack Murphy,Northern Arizona,Big Sky,5,27,0.156,,,,2012-13,68,128,0.347,,,,,68,128,0.347,,,,
Jeff Linder,Northern Colorado,Big Sky,26,12,0.684,,,,2016-17,37,30,0.552,,,,,37,30,0.552,,,,
Mark Montgomery,Northern Illinois,MAC,13,19,0.406,,,,2011-12,88,133,0.398,,,,,88,133,0.398,,,,
Ben Jacobson,Northern Iowa,MVC,16,16,0.5,,,,2006-07,250,150,0.625,4,1,,,250,150,0.625,4,1,,
John Brannen,Northern Kentucky,Horizon,22,10,0.688,,,,2015-16,55,42,0.567,1,,,,56,43,0.566,1,,,
Chris Collins,Northwestern,Big Ten,15,17,0.469,19,,,2013-14,88,77,0.533,1,,,,88,77,0.533,1,,,
Mike McConathy,Northwestern State,Southland,4,25,0.138,,,,1999-00,284,301,0.485,3,,,,284,301,0.485,3,,,
Mike Brey,Notre Dame,ACC,21,15,0.583,14,,,2000-01,403,202,0.666,12,3,,,502,254,0.664,14,3,,
Greg Kampe,Oakland,Horizon,19,14,0.576,,,,1999-00,338,276,0.55,3,,,,338,276,0.55,3,,,
Saul Phillips,Ohio,MAC,14,17,0.452,,,,2014-15,67,60,0.528,,,,,201,144,0.583,2,,,
Chris Holtmann,Ohio State,Big Ten,25,9,0.735,,17,Lost Second Round,2017-18,25,9,0.735,1,,,,139,94,0.597,4,1,,
Lon Kruger,Oklahoma,Big 12,18,14,0.562,,,Lost First Round,2011-12,140,91,0.606,5,2,1,,619,395,0.61,18,5,2,
Michael Boynton,Oklahoma State,Big 12,21,15,0.583,,,,2017-18,21,15,0.583,,,,,21,15,0.583,,,,
Jeff Jones,Old Dominion,CUSA,25,7,0.781,,,,2013-14,114,58,0.663,,,,,471,345,0.577,7,2,,
Paul Mills,Oral Roberts,Summit,11,21,0.344,,,,2017-18,11,21,0.344,,,,,11,21,0.344,,,,
Dana Altman,Oregon,Pac-12,23,13,0.639,,,,2010-11,210,83,0.717,5,3,1,,620,326,0.655,13,3,1,
Wayne Tinkle,Oregon State,Pac-12,16,16,0.5,,,,2014-15,57,70,0.449,1,,,,215,161,0.572,4,,,
Damon Stoudamire,Pacific,WCC,14,18,0.438,,,,2016-17,25,40,0.385,,,,,25,40,0.385,,,,
Patrick Chambers,Penn State,Big Ten,26,13,0.667,,,,2011-12,113,122,0.481,,,,,155,150,0.508,1,,,
Steve Donahue,Penn,Ivy,24,9,0.727,,,Lost First Round,2015-16,48,41,0.539,1,,,,248,255,0.493,4,1,,
Marty Wilson,Pepperdine,WCC,6,26,0.188,,,,1995-96,91,139,0.396,,,,,91,139,0.396,,,,
Kevin Stallings,Pitt,ACC,8,24,0.25,,,,2016-17,24,41,0.369,,,,,479,324,0.597,9,2,,
Terry Porter,Portland,WCC,10,22,0.312,,,,2016-17,21,44,0.323,,,,,21,44,0.323,,,,
Barret Peery,Portland State,Big Sky,20,14,0.588,,,,2017-18,20,14,0.588,,,,,20,14,0.588,,,,
Byron Smith,Prairie View,SWAC,16,18,0.471,,,,2015-16,35,44,0.443,,,,,35,44,0.443,,,,
Dustin Kerns,Presbyterian,Big South,11,21,0.344,,,,2017-18,11,21,0.344,,,,,11,21,0.344,,,,
Mitch Henderson,Princeton,Ivy,13,16,0.448,,,,2011-12,132,76,0.635,1,,,,132,76,0.635,1,,,
Ed Cooley,Providence,Big East,21,14,0.6,,,Lost First Round,2011-12,144,94,0.605,5,,,,236,163,0.591,5,,,
Matt Painter,Purdue,Big Ten,30,7,0.811,20,11,Lost Regional Semifinal,2005-06,295,149,0.664,10,4,,,320,154,0.675,11,4,,
Baker Dunleavy,Quinnipiac,MAAC,12,21,0.364,,,,2017-18,12,21,0.364,,,,,12,21,0.364,,,,
Mike Jones,Radford,Big South,23,13,0.639,,,Lost First Round,2011-12,116,116,0.5,1,,,,116,116,0.5,1,,,
Dan Hurley,Rhode Island,A-10,26,8,0.765,,,Lost Second Round,2012-13,113,82,0.579,2,,,,151,105,0.59,2,,,
Scott Pera,Rice,CUSA,7,24,0.226,,,,2017-18,7,24,0.226,,,,,7,24,0.226,,,,
Chris Mooney,Richmond,A-10,12,20,0.375,,,,2005-06,237,195,0.549,2,1,,,255,207,0.552,2,1,,
Kevin Baggett,Rider,MAAC,22,10,0.688,,,,2012-13,107,89,0.546,,,,,107,89,0.546,,,,
Andrew Toole,Robert Morris,NEC,16,17,0.485,,,,2010-11,150,123,0.549,1,,,,150,123,0.549,1,,,
Steve Pikiell,Rutgers,Big Ten,15,19,0.441,,,,2016-17,30,37,0.448,,,,,222,193,0.535,1,,,
Brian Katz,Sacramento State,Big Sky,7,25,0.219,,,,2008-09,111,190,0.369,,,,,111,190,0.369,,,,
Anthony Latina,Sacred Heart,NEC,10,21,0.323,,,,2013-14,55,101,0.353,,,,,55,101,0.353,,,,
Rob Krimmel,Saint Francis (PA),NEC,18,13,0.581,,,,2012-13,79,108,0.422,,,,,79,108,0.422,,,,
Phil Martelli,St. Joseph's,A-10,16,16,0.5,,,,1995-96,430,309,0.582,7,2,,,430,309,0.582,7,2,,
Travis Ford,Saint Louis,A-10,17,16,0.515,,,,2016-17,29,37,0.439,,,,,307,263,0.539,6,,,
Randy Bennett,Saint Mary's,WCC,30,6,0.833,22,25,,2001-02,392,162,0.708,6,1,,,392,162,0.708,6,1,,
John Dunne,St. Peter's,MAAC,14,18,0.438,,,,2006-07,153,225,0.405,1,,,,153,225,0.405,1,,,
Jason Hooten,Sam Houston State,Southland,21,15,0.583,,,,2010-11,158,113,0.583,,,,,158,113,0.583,,,,
Scott Padgett,Samford,Southern,10,22,0.312,,,,2014-15,57,76,0.429,,,,,57,76,0.429,,,,
Lamont Smith,San Diego,WCC,20,14,0.588,,,,2015-16,42,53,0.442,,,,,42,53,0.442,,,,
Brian Dutcher,San Diego State,MWC,22,11,0.667,,,Lost First Round,2017-18,22,11,0.667,1,,,,22,11,0.667,1,,,
Kyle Smith,San Francisco,WCC,22,17,0.564,,,,2016-17,42,30,0.583,,,,,143,112,0.561,,,,
Jean Prioleau,San Jose State,MWC,4,26,0.133,,,,2017-18,4,26,0.133,,,,,4,26,0.133,,,,
Herb Sendek,Santa Clara,WCC,11,20,0.355,,,,2016-17,28,36,0.438,,,,,441,331,0.571,8,1,,
Horace Broadnax,Savannah State,MEAC,15,17,0.469,,,,2005-06,171,228,0.429,,,,,213,316,0.403,,,,
Jim Hayford,Seattle,WAC,20,14,0.588,,,,2017-18,20,14,0.588,,,,,126,105,0.545,1,,,
Kevin Willard,Seton Hall,Big East,22,12,0.647,23,,Lost Second Round,2010-11,150,114,0.568,3,,,,195,163,0.545,3,,,
Jimmy Patsos,Siena,MAAC,8,24,0.25,,,,2013-14,77,92,0.456,,,,,222,227,0.494,1,,,
Matthew Graves,South Alabama,Sun Belt,14,18,0.438,,,,2013-14,65,96,0.404,,,,,65,96,0.404,,,,
Frank Martin,South Carolina,SEC,17,16,0.515,,,,2012-13,113,90,0.557,1,1,1,,230,144,0.615,5,2,1,
Murray Garvin,South Carolina State,MEAC,10,22,0.312,,,,2012-13,62,107,0.367,,,,,62,107,0.367,,,,
Kyle Perry,USC Upstate,A-Sun,7,25,0.219,,,,2017-18,7,25,0.219,,,,,7,25,0.219,,,,
Craig Smith,South Dakota,Summit,26,9,0.743,,,,2014-15,79,55,0.59,,,,,79,55,0.59,,,,
T.J. Otzelberger,South Dakota State,Summit,28,7,0.8,,,Lost First Round,2016-17,46,24,0.657,2,,,,46,24,0.657,2,,,
Brian Gregory,South Florida,AAC,10,22,0.312,,,,2017-18,10,22,0.312,,,,,258,202,0.561,2,,,
Rick Ray,Southeast Missouri State,OVC,14,17,0.452,,,,2015-16,34,59,0.366,,,,,71,119,0.374,,,,
Jay Ladner,Southeastern Louisiana,Southland,22,12,0.647,,,,2014-15,59,72,0.45,,,,,59,72,0.45,,,,
Morris Scott,Southern,SWAC,15,18,0.455,,,,2017-18,15,18,0.455,,,,,15,18,0.455,,,,
Andy Enfield,USC,Pac-12,24,12,0.667,10,,,2013-14,94,76,0.553,2,,,,135,104,0.565,3,1,,
Barry Hinson,Southern Illinois,MVC,20,13,0.606,,,,2012-13,99,96,0.508,,,,,304,236,0.563,,,,
Jon Harris,SIU-Edwardsville,OVC,9,21,0.3,,,,2015-16,21,67,0.239,,,,,21,67,0.239,,,,
Tim Jankovich,SMU,AAC,17,16,0.515,,,,2015-16,56,21,0.727,1,,,,213,142,0.6,1,,,
Doc Sadler,Southern Miss,CUSA,16,18,0.471,,,,2014-15,42,81,0.341,,,,,191,188,0.504,1,,,
Todd Simon,Southern Utah,Big Sky,13,19,0.406,,,,2016-17,19,46,0.292,,,,,28,54,0.341,,,,
Mark Schmidt,St. Bonaventure,A-10,26,8,0.765,,,Lost First Round,2007-08,192,152,0.558,2,,,,274,242,0.531,2,,,
Glenn Braica,St. Francis (NY),NEC,13,18,0.419,,,,2010-11,115,136,0.458,,,,,115,136,0.458,,,,
Chris Mullin,St. John's (NY),Big East,16,17,0.485,,,,2015-16,38,60,0.388,,,,,38,60,0.388,,,,
Jerod Haase,Stanford,Pac-12,19,16,0.543,,,,2016-17,33,33,0.5,,,,,113,86,0.568,1,,,
Kyle Keller,Stephen F. Austin,Southland,28,7,0.8,,,Lost First Round,2016-17,46,22,0.676,1,,,,46,22,0.676,1,,,
Corey Williams,Stetson,A-Sun,12,20,0.375,,,,2013-14,51,109,0.319,,,,,51,109,0.319,,,,
Jeff Boals,Stony Brook,AEC,13,19,0.406,,,,2016-17,31,33,0.484,,,,,31,33,0.484,,,,
Jim Boeheim*,Syracuse,ACC,23,14,0.622,,,Lost Regional Semifinal,1976-77,1027,371,0.735,33,18,5,1,1027,371,0.735,33,18,5,1
Fran Dunphy,Temple,AAC,17,16,0.515,,,,2006-07,247,152,0.619,7,,,,557,315,0.639,16,,,
Rick Barnes,Tennessee,SEC,26,9,0.743,,13,Lost Second Round,2015-16,57,44,0.564,1,,,,661,358,0.649,23,6,1,
Anthony Stewart,UT-Martin,OVC,10,21,0.323,,,,2016-17,32,34,0.485,,,,,32,34,0.485,,,,
Dana Ford,Tennessee State,OVC,15,15,0.5,,,,2014-15,57,65,0.467,,,,,57,65,0.467,,,,
Steve Payne,Tennessee Tech,OVC,19,14,0.576,,,,2011-12,110,111,0.498,,,,,110,111,0.498,,,,
Shaka Smart,Texas,Big 12,19,15,0.559,,,Lost First Round,2015-16,50,50,0.5,2,,,,213,106,0.668,7,1,1,
Billy Kennedy,Texas A&M,SEC,22,13,0.629,25,,Lost Regional Semifinal,2011-12,137,98,0.583,2,2,,,348,277,0.557,4,2,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,11,18,0.379,,,,2011-12,110,115,0.489,,,,,328,362,0.475,,,,
Scott Cross,Texas-Arlington,Sun Belt,21,13,0.618,,,,2006-07,225,161,0.583,1,,,,225,161,0.583,1,,,
Jamie Dixon,TCU,Big 12,21,12,0.636,,,Lost First Round,2016-17,45,27,0.625,1,,,,373,150,0.713,12,3,,
Phil Johnson,UTEP,CUSA,10,15,0.4,,,,2017-18,10,15,0.4,,,,,41,98,0.295,,,,
Tim Floyd*,UTEP,CUSA,1,5,0.167,,,,2010-11,138,99,0.582,,,,,465,280,0.624,8,2,,
Lew Hill,Texas-Rio Grande Valley,WAC,15,18,0.455,,,,2016-17,25,40,0.385,,,,,25,40,0.385,,,,
Steve Henson,UTSA,CUSA,20,15,0.571,,,,2016-17,34,34,0.5,,,,,34,34,0.5,,,,
Mike Davis,Texas Southern,SWAC,16,20,0.444,,,Lost First Round,2012-13,115,89,0.564,4,,,,352,241,0.594,9,1,1,
Danny Kaspar,Texas State,Sun Belt,15,18,0.455,,,,2013-14,74,88,0.457,,,,,320,229,0.583,1,,,
Chris Beard,Texas Tech,Big 12,27,10,0.73,,14,Lost Regional Final,2016-17,45,24,0.652,1,1,,,75,29,0.721,2,1,,
Tod Kowalczyk,Toledo,MAC,23,11,0.676,,,,2010-11,142,121,0.54,,,,,278,233,0.544,,,,
Pat Skerry,Towson,CAA,18,14,0.562,,,,2011-12,114,115,0.498,,,,,114,115,0.498,,,,
Phil Cunningham,Troy,Sun Belt,16,17,0.485,,,,2013-14,68,93,0.422,1,,,,68,93,0.422,1,,,
Mike Dunleavy,Tulane,AAC,14,17,0.452,,,,2016-17,20,42,0.323,,,,,20,42,0.323,,,,
Frank Haith,Tulsa,AAC,19,12,0.613,,,,2014-15,77,52,0.597,1,,,,282,181,0.609,4,,,
Steve Alford,UCLA,Pac-12,21,12,0.636,21,,,2013-14,117,57,0.672,4,3,,,502,263,0.656,11,4,,
Larry Krystkowiak,Utah,Pac-12,23,12,0.657,,,,2011-12,138,97,0.587,2,1,,,180,117,0.606,4,1,,
Tim Duryea,Utah State,MWC,17,17,0.5,,,,2015-16,48,49,0.495,,,,,48,49,0.495,,,,
Mark Pope,Utah Valley,WAC,23,11,0.676,,,,2015-16,52,46,0.531,,,,,52,46,0.531,,,,
Matt Lottich,Valparaiso,MVC,15,17,0.469,,,,2016-17,39,26,0.6,,,,,39,26,0.6,,,,
Bryce Drew,Vanderbilt,SEC,12,20,0.375,,,,2016-17,31,36,0.463,1,,,,155,85,0.646,3,,,
John Becker,Vermont,AEC,27,8,0.771,,,,2011-12,166,77,0.683,2,,,,166,77,0.683,2,,,
Jay Wright,Villanova,Big East,36,4,0.9,6,2,Won National Final,2001-02,422,165,0.719,13,6,3,2,544,250,0.685,15,6,3,2
Tony Bennett,Virginia,ACC,31,3,0.912,,1,Lost First Round,2009-10,219,86,0.718,6,2,,,288,119,0.708,8,3,,
Mike Rhoades,VCU,A-10,18,15,0.545,,,,2017-18,18,15,0.545,,,,,65,67,0.492,,,,
Dan Earl,VMI,Southern,9,21,0.3,,,,2015-16,24,66,0.267,,,,,24,66,0.267,,,,
Buzz Williams,Virginia Tech,ACC,21,12,0.636,,,Lost First Round,2014-15,74,60,0.552,2,,,,227,146,0.609,7,3,,
Bashir Mason,Wagner,NEC,23,10,0.697,,,,2012-13,110,79,0.582,,,,,110,79,0.582,,,,
Danny Manning,Wake Forest,ACC,11,20,0.355,,,,2014-15,54,73,0.425,1,,,,92,102,0.474,2,,,
Mike Hopkins,Washington,Pac-12,21,13,0.618,,,,2017-18,21,13,0.618,,,,,25,18,0.581,1,1,1,
Ernie Kent,Washington State,Pac-12,12,19,0.387,,,,2014-15,47,77,0.379,,,,,372,330,0.53,6,2,,
Randy Rahe,Weber State,Big Sky,20,11,0.645,,,,2006-07,248,138,0.642,3,,,,248,138,0.642,3,,,
Bob Huggins,West Virginia,Big 12,26,11,0.703,11,15,Lost Regional Semifinal,2007-08,255,130,0.662,9,5,1,,773,316,0.71,24,9,2,
Larry Hunter,Western Carolina,Southern,13,19,0.406,,,,2005-06,193,229,0.457,,,,,397,377,0.513,1,,,
Bill Wright,Western Illinois,Summit,12,16,0.429,,,,2014-15,38,73,0.342,,,,,38,73,0.342,,,,
Rick Stansbury,Western Kentucky,CUSA,27,11,0.711,,,,2016-17,42,28,0.6,,,,,335,194,0.633,6,,,
Steve Hawkins,Western Michigan,MAC,17,15,0.531,,,,2003-04,270,219,0.552,2,,,,270,219,0.552,2,,,
Gregg Marshall,Wichita State,AAC,25,8,0.758,7,16,Lost First Round,2007-08,286,98,0.745,7,2,1,,480,181,0.726,14,2,1,
Tony Shaver,William & Mary,CAA,19,12,0.613,,,,2003-04,212,251,0.458,,,,,212,251,0.458,,,,
Pat Kelsey,Winthrop,Big South,19,12,0.613,,,,2012-13,121,71,0.63,1,,,,121,71,0.63,1,,,
Greg Gard,Wisconsin,Big Ten,15,18,0.455,,,,2015-16,57,36,0.613,2,2,,,57,36,0.613,2,2,,
Mike Young,Wofford,Southern,21,13,0.618,,,,2002-03,269,239,0.53,4,,,,269,239,0.53,4,,,
Scott Nagy,Wright State,Horizon,25,10,0.714,,,Lost First Round,2016-17,45,22,0.672,1,,,,235,185,0.56,4,,,
Allen Edwards,Wyoming,MWC,20,13,0.606,,,,2016-17,43,28,0.606,,,,,43,28,0.606,,,,
Chris Mack,Xavier,Big East,29,6,0.829,17,3,Lost Second Round,2009-10,215,97,0.689,8,4,,,215,97,0.689,8,4,,
James Jones,Yale,Ivy,16,15,0.516,,,,1999-00,288,265,0.521,1,,,,288,265,0.521,1,,,
Jerrod Calhoun,Youngstown State,Horizon,8,24,0.25,,,,2017-18,8,24,0.25,,,,,8,24,0.25,,,,
