,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
187,Kareem Richardson,UMKC,WAC,10,20,0.333,,,,2013-14,10,20,0.333,,,,,10,20,0.333,,,,,UMKC,WAC,14,19,0.424,,,,2013-14,24,39,0.381,,,,,24,39,0.381,,,,,UMKC,WAC,12,19,0.387,,,,2013-14,36,58,0.383,,,,,36,58,0.383,,,,,UMKC,WAC,18,17,0.514,,,,2013-14,54,75,0.419,,,,,54,75,0.419,,,,,UMKC,WAC,10,22,0.312,,,,2013-14,64,97,0.398,,,,,64,97,0.398,,,,,N,
188,Paul Lusk,Missouri State,MVC,20,13,0.606,,,,2011-12,47,51,0.48,,,,,47,51,0.48,,,,,Missouri State,MVC,11,20,0.355,,,,2011-12,58,71,0.45,,,,,58,71,0.45,,,,,Missouri State,MVC,13,19,0.406,,,,2011-12,71,90,0.441,,,,,71,90,0.441,,,,,Missouri State,MVC,17,16,0.515,,,,2011-12,88,106,0.454,,,,,88,106,0.454,,,,,Missouri State,MVC,18,15,0.545,,,,2011-12,106,121,0.467,,,,,106,121,0.467,,,,,N,
189,King Rice,Monmouth,MAAC,11,21,0.344,,,,2011-12,33,62,0.347,,,,,33,62,0.347,,,,,Monmouth,MAAC,18,15,0.545,,,,2011-12,51,77,0.398,,,,,51,77,0.398,,,,,Monmouth,MAAC,28,8,0.778,,,,2011-12,79,85,0.482,,,,,79,85,0.482,,,,,Monmouth,MAAC,27,7,0.794,,,,2011-12,106,92,0.535,,,,,106,92,0.535,,,,,Monmouth,MAAC,11,20,0.355,,,,2011-12,117,112,0.511,,,,,117,112,0.511,,,,,N,
190,Wayne Tinkle,Montana,Big Sky,17,13,0.567,,,,2006-07,158,91,0.635,3,,,,158,91,0.635,3,,,,Oregon State,Pac-12,17,14,0.548,,,,2014-15,17,14,0.548,,,,,175,105,0.625,3,,,,Oregon State,Pac-12,19,13,0.594,,,Lost First Round,2014-15,36,27,0.571,1,,,,194,118,0.622,4,,,,Oregon State,Pac-12,5,27,0.156,,,,2014-15,41,54,0.432,1,,,,199,145,0.578,4,,,,Oregon State,Pac-12,16,16,0.5,,,,2014-15,57,70,0.449,1,,,,215,161,0.572,4,,,,N,
191,Brad Huse,Montana State,Big Sky,14,17,0.452,,,,2006-07,107,134,0.444,,,,,107,134,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
192,Sean Woods,Morehead State,OVC,20,14,0.588,,,,2012-13,35,32,0.522,,,,,85,112,0.431,1,,,,Morehead State,OVC,17,17,0.5,,,,2012-13,52,49,0.515,,,,,102,129,0.442,1,,,,Morehead State,OVC,23,14,0.622,,,,2012-13,75,63,0.543,,,,,125,143,0.466,1,,,,Morehead State,OVC,2,7,0.222,,,,2012-13,77,70,0.524,,,,,127,150,0.458,1,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
193,Todd Bozeman*,Morgan State,MEAC,15,16,0.484,,,,2006-07,143,116,0.552,2,,,,206,151,0.577,5,1,,,Morgan State,MEAC,7,24,0.226,,,,2006-07,150,140,0.517,2,,,,213,175,0.549,5,1,,,Morgan State,MEAC,9,22,0.29,,,,2006-07,159,162,0.495,2,,,,222,197,0.53,5,1,,,Morgan State,MEAC,14,16,0.467,,,,2006-07,173,178,0.493,2,,,,236,213,0.526,5,1,,,Morgan State,MEAC,13,18,0.419,,,,2006-07,186,196,0.487,2,,,,249,231,0.519,5,1,,,N,
194,Jamion Christian,Mount St. Mary's,NEC,16,17,0.485,,,,2012-13,34,31,0.523,1,,,,34,31,0.523,1,,,,Mount St. Mary's,NEC,15,15,0.5,,,,2012-13,49,46,0.516,1,,,,49,46,0.516,1,,,,Mount St. Mary's,NEC,14,19,0.424,,,,2012-13,63,65,0.492,1,,,,63,65,0.492,1,,,,Mount St. Mary's,NEC,20,16,0.556,,,Lost First Round,2012-13,83,81,0.506,2,,,,83,81,0.506,2,,,,Mount St. Mary's,NEC,18,14,0.562,,,,2012-13,101,95,0.515,2,,,,101,95,0.515,2,,,,N,
195,Steve Prohm,Murray State,OVC,23,11,0.676,,,,2011-12,75,23,0.765,1,,,,75,23,0.765,1,,,,Murray State,OVC,29,6,0.829,,,,2011-12,104,29,0.782,1,,,,104,29,0.782,1,,,,Iowa State,Big 12,23,12,0.657,7,22,Lost Regional Semifinal,2015-16,23,12,0.657,1,1,,,127,41,0.756,2,1,,,Iowa State,Big 12,24,11,0.686,24,16,Lost Second Round,2015-16,47,23,0.671,2,1,,,151,52,0.744,3,1,,,Iowa State,Big 12,13,18,0.419,,,,2015-16,60,41,0.594,2,1,,,164,70,0.701,3,1,,,N,
196,Ed DeChellis,Navy,Patriot,9,21,0.3,,,,2011-12,20,70,0.222,,,,,239,301,0.443,2,,,,Navy,Patriot,13,19,0.406,,,,2011-12,33,89,0.27,,,,,252,320,0.441,2,,,,Navy,Patriot,19,14,0.576,,,,2011-12,52,103,0.335,,,,,271,334,0.448,2,,,,Navy,Patriot,16,16,0.5,,,,2011-12,68,119,0.364,,,,,287,350,0.451,2,,,,Navy,Patriot,20,12,0.625,,,,2011-12,88,131,0.402,,,,,307,362,0.459,2,,,,N,
197,Tim Miles,Nebraska,Big Ten,19,13,0.594,,,Lost Second Round,2012-13,34,31,0.523,1,,,,141,139,0.504,2,,,,Nebraska,Big Ten,13,18,0.419,21,,,2012-13,47,49,0.49,1,,,,154,157,0.495,2,,,,Nebraska,Big Ten,16,18,0.471,,,,2012-13,63,67,0.485,1,,,,170,175,0.493,2,,,,Nebraska,Big Ten,12,19,0.387,,,,2012-13,75,86,0.466,1,,,,182,194,0.484,2,,,,Nebraska,Big Ten,22,11,0.667,,,,2012-13,97,97,0.5,1,,,,204,205,0.499,2,,,,N,
198,Derrin Hansen,Omaha,Summit,17,15,0.531,,,,2012-13,28,35,0.444,,,,,28,35,0.444,,,,,Omaha,Summit,12,17,0.414,,,,2012-13,40,52,0.435,,,,,40,52,0.435,,,,,Omaha,Summit,18,14,0.562,,,,2012-13,58,66,0.468,,,,,58,66,0.468,,,,,Omaha,Summit,18,14,0.562,,,,2012-13,76,80,0.487,,,,,76,80,0.487,,,,,Omaha,Summit,9,22,0.29,,,,2012-13,85,102,0.455,,,,,85,102,0.455,,,,,N,
199,David Carter,Nevada,MWC,15,17,0.469,,,,2009-10,89,75,0.543,,,,,89,75,0.543,,,,,Nevada,MWC,9,22,0.29,,,,2009-10,98,97,0.503,,,,,98,97,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
200,Dave Rice,UNLV,MWC,20,13,0.606,,,,2011-12,71,32,0.689,2,,,,71,32,0.689,2,,,,UNLV,MWC,18,15,0.545,,,,2011-12,89,47,0.654,2,,,,89,47,0.654,2,,,,UNLV,MWC,9,7,0.562,,,,2011-12,98,54,0.645,2,,,,98,54,0.645,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
201,Bill Herrion,New Hampshire,AEC,6,24,0.2,,,,2005-06,98,168,0.368,,,,,335,337,0.499,3,,,,New Hampshire,AEC,19,13,0.594,,,,2005-06,117,181,0.393,,,,,354,350,0.503,3,,,,New Hampshire,AEC,20,13,0.606,,,,2005-06,137,194,0.414,,,,,374,363,0.507,3,,,,New Hampshire,AEC,20,12,0.625,,,,2005-06,157,206,0.433,,,,,394,375,0.512,3,,,,New Hampshire,AEC,10,21,0.323,,,,2005-06,167,227,0.424,,,,,404,396,0.505,3,,,,N,
202,Craig Neal,New Mexico,MWC,27,7,0.794,23,17,Lost Second Round,2013-14,27,7,0.794,1,,,,27,7,0.794,1,,,,New Mexico,MWC,15,16,0.484,,,,2013-14,42,23,0.646,1,,,,42,23,0.646,1,,,,New Mexico,MWC,17,15,0.531,,,,2013-14,59,38,0.608,1,,,,59,38,0.608,1,,,,New Mexico,MWC,17,14,0.548,,,,2013-14,76,52,0.594,1,,,,76,52,0.594,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
203,Marvin Menzies,New Mexico State,WAC,26,10,0.722,,,Lost Second Round,2007-08,152,89,0.631,4,,,,152,89,0.631,4,,,,New Mexico State,WAC,23,11,0.676,,,Lost Second Round,2007-08,175,100,0.636,5,,,,175,100,0.636,5,,,,New Mexico State,WAC,23,11,0.676,,,,2007-08,198,111,0.641,5,,,,198,111,0.641,5,,,,UNLV,MWC,11,21,0.344,,,,2016-17,11,21,0.344,,,,,209,132,0.613,5,,,,UNLV,MWC,20,13,0.606,,,,2016-17,31,34,0.477,,,,,229,145,0.612,5,,,,N,
204,Mark Slessinger,New Orleans,Southland,11,15,0.423,,,,2012-13,19,33,0.365,,,,,19,33,0.365,,,,,New Orleans,Southland,11,18,0.379,,,,2012-13,30,51,0.37,,,,,30,51,0.37,,,,,New Orleans,Southland,10,20,0.333,,,,2012-13,40,71,0.36,,,,,40,71,0.36,,,,,New Orleans,Southland,20,12,0.625,,,,2012-13,60,83,0.42,1,,,,60,83,0.42,1,,,,New Orleans,Southland,16,17,0.485,,,,2012-13,76,100,0.432,1,,,,76,100,0.432,1,,,,N,
205,Chris Casey,Niagara,MAAC,7,26,0.212,,,,2013-14,7,26,0.212,,,,,7,26,0.212,,,,,Niagara,MAAC,8,22,0.267,,,,2013-14,15,48,0.238,,,,,15,48,0.238,,,,,Niagara,MAAC,7,25,0.219,,,,2013-14,22,73,0.232,,,,,22,73,0.232,,,,,Niagara,MAAC,10,23,0.303,,,,2013-14,32,96,0.25,,,,,32,96,0.25,,,,,Niagara,MAAC,19,14,0.576,,,,2013-14,51,110,0.317,,,,,51,110,0.317,,,,,N,
206,J.P. Piper,Nicholls State,Southland,14,15,0.483,,,,2004-05,111,182,0.379,,,,,111,182,0.379,,,,,Nicholls State,Southland,10,19,0.345,,,,2004-05,121,201,0.376,,,,,121,201,0.376,,,,,Nicholls State,Southland,11,23,0.324,,,,2004-05,132,224,0.371,,,,,132,224,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
207,Jim Engles,NJIT,Ind,13,16,0.448,,,,2008-09,70,112,0.385,,,,,70,112,0.385,,,,,NJIT,Ind,21,12,0.636,,,,2008-09,91,124,0.423,,,,,91,124,0.423,,,,,NJIT,A-Sun,20,15,0.571,,,,2008-09,111,139,0.444,,,,,111,139,0.444,,,,,Columbia,Ivy,11,16,0.407,,,,2016-17,11,16,0.407,,,,,122,155,0.44,,,,,Columbia,Ivy,8,19,0.296,,,,2016-17,19,35,0.352,,,,,130,174,0.428,,,,,N,
208,Robert Jones,Norfolk State,MEAC,19,15,0.559,,,,2013-14,19,15,0.559,,,,,19,15,0.559,,,,,Norfolk State,MEAC,20,14,0.588,,,,2013-14,39,29,0.574,,,,,39,29,0.574,,,,,Norfolk State,MEAC,17,17,0.5,,,,2013-14,56,46,0.549,,,,,56,46,0.549,,,,,Norfolk State,MEAC,17,17,0.5,,,,2013-14,73,63,0.537,,,,,73,63,0.537,,,,,Norfolk State,MEAC,14,19,0.424,,,,2013-14,87,82,0.515,,,,,87,82,0.515,,,,,N,
209,Roy Williams,UNC,ACC,24,10,0.706,12,19,Lost Third Round,2003-04,306,89,0.775,10,6,3,2,724,190,0.792,24,15,7,2,UNC,ACC,26,12,0.684,6,15,Lost Regional Semifinal,2003-04,332,101,0.767,11,7,3,2,750,202,0.788,25,16,7,2,UNC,ACC,33,7,0.825,1,3,Lost National Final,2003-04,365,108,0.772,12,8,4,2,783,209,0.789,26,17,8,2,UNC,ACC,33,7,0.825,6,6,Won National Final,2003-04,398,115,0.776,13,9,5,3,816,216,0.791,27,18,9,3,UNC,ACC,26,11,0.703,9,10,Lost Second Round,2003-04,424,126,0.771,14,9,5,3,842,227,0.788,28,18,9,3,N,
210,Nick McDevitt,UNC Asheville,Big South,17,15,0.531,,,,2013-14,17,15,0.531,,,,,17,15,0.531,,,,,UNC Asheville,Big South,15,16,0.484,,,,2013-14,32,31,0.508,,,,,32,31,0.508,,,,,UNC Asheville,Big South,22,12,0.647,,,Lost First Round,2013-14,54,43,0.557,1,,,,54,43,0.557,1,,,,UNC Asheville,Big South,23,10,0.697,,,,2013-14,77,53,0.592,1,,,,77,53,0.592,1,,,,UNC Asheville,Big South,21,13,0.618,,,,2013-14,98,66,0.598,1,,,,98,66,0.598,1,,,,N,
211,Cy Alexander,North Carolina A&T,MEAC,9,23,0.281,,,,2012-13,29,40,0.42,1,,,,372,346,0.518,6,,,,North Carolina A&T,MEAC,9,23,0.281,,,,2012-13,38,63,0.376,1,,,,381,369,0.508,6,,,,North Carolina A&T,MEAC,5,17,0.227,,,,2012-13,43,80,0.35,1,,,,386,386,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
212,LeVelle Moton,North Carolina Central,MEAC,28,6,0.824,,,Lost Second Round,2009-10,89,67,0.571,1,,,,89,67,0.571,1,,,,North Carolina Central,MEAC,25,8,0.758,,,,2009-10,114,75,0.603,1,,,,114,75,0.603,1,,,,North Carolina Central,MEAC,13,19,0.406,,,,2009-10,127,94,0.575,1,,,,127,94,0.575,1,,,,North Carolina Central,MEAC,25,9,0.735,,,,2009-10,152,103,0.596,2,,,,152,103,0.596,2,,,,North Carolina Central,MEAC,19,16,0.543,,,,2009-10,171,119,0.59,3,,,,171,119,0.59,3,,,,N,
213,Wes Miller,UNC Greensboro,Southern,14,18,0.438,,,,2011-12,34,51,0.4,,,,,34,51,0.4,,,,,UNC Greensboro,Southern,11,22,0.333,,,,2011-12,45,73,0.381,,,,,45,73,0.381,,,,,UNC Greensboro,Southern,15,19,0.441,,,,2011-12,60,92,0.395,,,,,60,92,0.395,,,,,UNC Greensboro,Southern,25,10,0.714,,,,2011-12,85,102,0.455,,,,,85,102,0.455,,,,,UNC Greensboro,Southern,27,8,0.771,,,Lost First Round,2011-12,112,110,0.505,1,,,,112,110,0.505,1,,,,N,
214,Mark Gottfried,NC State,ACC,22,14,0.611,,,Lost Second Round,2011-12,70,38,0.648,3,1,,,348,193,0.643,10,2,,,NC State,ACC,22,14,0.611,,,Lost Regional Semifinal,2011-12,92,52,0.639,4,2,,,370,207,0.641,11,3,,,NC State,ACC,16,17,0.485,,,,2011-12,108,69,0.61,4,2,,,386,224,0.633,11,3,,,NC State,ACC,15,17,0.469,,,,2011-12,123,86,0.589,4,2,,,401,241,0.625,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
215,Buzz Peterson,UNC Wilmington,CAA,9,23,0.281,,,,2010-11,42,82,0.339,,,,,267,229,0.538,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
216,Brian Jones,North Dakota,Big Sky,17,17,0.5,,,,2009-10,77,87,0.47,,,,,77,87,0.47,,,,,North Dakota,Big Sky,8,22,0.267,,,,2009-10,85,109,0.438,,,,,85,109,0.438,,,,,North Dakota,Big Sky,17,16,0.515,,,,2009-10,102,125,0.449,,,,,102,125,0.449,,,,,North Dakota,Big Sky,22,10,0.688,,,Lost First Round,2009-10,124,135,0.479,1,,,,124,135,0.479,1,,,,North Dakota,Big Sky,12,20,0.375,,,,2009-10,136,155,0.467,1,,,,136,155,0.467,1,,,,N,
217,Saul Phillips,North Dakota State,Summit,26,7,0.788,,,Lost Third Round,2007-08,134,84,0.615,2,,,,134,84,0.615,2,,,,Ohio,MAC,10,20,0.333,,,,2014-15,10,20,0.333,,,,,144,104,0.581,2,,,,Ohio,MAC,23,12,0.657,,,,2014-15,33,32,0.508,,,,,167,116,0.59,2,,,,Ohio,MAC,20,11,0.645,,,,2014-15,53,43,0.552,,,,,187,127,0.596,2,,,,Ohio,MAC,14,17,0.452,,,,2014-15,67,60,0.528,,,,,201,144,0.583,2,,,,N,
218,Matthew Driscoll,North Florida,A-Sun,16,16,0.5,,,,2009-10,73,88,0.453,,,,,73,88,0.453,,,,,North Florida,A-Sun,23,12,0.657,,,,2009-10,96,100,0.49,1,,,,96,100,0.49,1,,,,North Florida,A-Sun,22,12,0.647,,,,2009-10,118,112,0.513,1,,,,118,112,0.513,1,,,,North Florida,A-Sun,15,19,0.441,,,,2009-10,133,131,0.504,1,,,,133,131,0.504,1,,,,North Florida,A-Sun,14,19,0.424,,,,2009-10,147,150,0.495,1,,,,147,150,0.495,1,,,,N,
219,Tony Benford,North Texas,CUSA,16,16,0.5,,,,2012-13,28,36,0.438,,,,,28,36,0.438,,,,,North Texas,CUSA,14,17,0.452,,,,2012-13,42,53,0.442,,,,,42,53,0.442,,,,,North Texas,CUSA,12,20,0.375,,,,2012-13,54,73,0.425,,,,,54,73,0.425,,,,,North Texas,CUSA,8,22,0.267,,,,2012-13,62,95,0.395,,,,,62,95,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
220,Bill Coen,Northeastern,CAA,11,21,0.344,,,,2006-07,122,133,0.478,,,,,122,133,0.478,,,,,Northeastern,CAA,23,12,0.657,,,Lost Second Round,2006-07,145,145,0.5,1,,,,145,145,0.5,1,,,,Northeastern,CAA,18,15,0.545,,,,2006-07,163,160,0.505,1,,,,163,160,0.505,1,,,,Northeastern,CAA,15,16,0.484,,,,2006-07,178,176,0.503,1,,,,178,176,0.503,1,,,,Northeastern,CAA,23,10,0.697,,,,2006-07,201,186,0.519,1,,,,201,186,0.519,1,,,,N,
221,Jack Murphy,Northern Arizona,Big Sky,15,17,0.469,,,,2012-13,26,38,0.406,,,,,26,38,0.406,,,,,Northern Arizona,Big Sky,23,15,0.605,,,,2012-13,49,53,0.48,,,,,49,53,0.48,,,,,Northern Arizona,Big Sky,5,25,0.167,,,,2012-13,54,78,0.409,,,,,54,78,0.409,,,,,Northern Arizona,Big Sky,9,23,0.281,,,,2012-13,63,101,0.384,,,,,63,101,0.384,,,,,Northern Arizona,Big Sky,5,27,0.156,,,,2012-13,68,128,0.347,,,,,68,128,0.347,,,,,N,
222,B.J. Hill,Northern Colorado,Big Sky,18,14,0.562,,,,2010-11,61,62,0.496,1,,,,61,62,0.496,1,,,,Northern Colorado,Big Sky,15,15,0.5,,,,2010-11,76,77,0.497,1,,,,76,77,0.497,1,,,,Northern Colorado,Big Sky,10,21,0.323,,,,2010-11,86,98,0.467,1,,,,86,98,0.467,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
223,Mark Montgomery,Northern Illinois,MAC,15,17,0.469,,,,2011-12,25,68,0.269,,,,,25,68,0.269,,,,,Northern Illinois,MAC,14,16,0.467,,,,2011-12,39,84,0.317,,,,,39,84,0.317,,,,,Northern Illinois,MAC,21,13,0.618,,,,2011-12,60,97,0.382,,,,,60,97,0.382,,,,,Northern Illinois,MAC,15,17,0.469,,,,2011-12,75,114,0.397,,,,,75,114,0.397,,,,,Northern Illinois,MAC,13,19,0.406,,,,2011-12,88,133,0.398,,,,,88,133,0.398,,,,,N,
224,Ben Jacobson,Northern Iowa,MVC,16,15,0.516,,,,2006-07,166,101,0.622,2,1,,,166,101,0.622,2,1,,,Northern Iowa,MVC,31,4,0.886,,11,Lost Third Round,2006-07,197,105,0.652,3,1,,,197,105,0.652,3,1,,,Northern Iowa,MVC,23,13,0.639,,,Lost Second Round,2006-07,220,118,0.651,4,1,,,220,118,0.651,4,1,,,Northern Iowa,MVC,14,16,0.467,,,,2006-07,234,134,0.636,4,1,,,234,134,0.636,4,1,,,Northern Iowa,MVC,16,16,0.5,,,,2006-07,250,150,0.625,4,1,,,250,150,0.625,4,1,,,N,
225,Dave Bezold,Northern Kentucky,A-Sun,9,21,0.3,,,,2012-13,20,37,0.351,,,,,20,37,0.351,,,,,Northern Kentucky,A-Sun,13,17,0.433,,,,2012-13,33,54,0.379,,,,,33,54,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
226,Chris Collins,Northwestern,Big Ten,14,19,0.424,,,,2013-14,14,19,0.424,,,,,14,19,0.424,,,,,Northwestern,Big Ten,15,17,0.469,,,,2013-14,29,36,0.446,,,,,29,36,0.446,,,,,Northwestern,Big Ten,20,12,0.625,,,,2013-14,49,48,0.505,,,,,49,48,0.505,,,,,Northwestern,Big Ten,24,12,0.667,,,Lost Second Round,2013-14,73,60,0.549,1,,,,73,60,0.549,1,,,,Northwestern,Big Ten,15,17,0.469,19,,,2013-14,88,77,0.533,1,,,,88,77,0.533,1,,,,N,
227,Mike McConathy,Northwestern State,Southland,17,14,0.548,,,,1999-00,240,227,0.514,3,,,,240,227,0.514,3,,,,Northwestern State,Southland,19,13,0.594,,,,1999-00,259,240,0.519,3,,,,259,240,0.519,3,,,,Northwestern State,Southland,8,20,0.286,,,,1999-00,267,260,0.507,3,,,,267,260,0.507,3,,,,Northwestern State,Southland,13,16,0.448,,,,1999-00,280,276,0.504,3,,,,280,276,0.504,3,,,,Northwestern State,Southland,4,25,0.138,,,,1999-00,284,301,0.485,3,,,,284,301,0.485,3,,,,N,
228,Mike Brey,Notre Dame,ACC,15,17,0.469,21,,,2000-01,300,159,0.654,9,1,,,399,211,0.654,11,1,,,Notre Dame,ACC,32,6,0.842,,8,Lost Regional Final,2000-01,332,165,0.668,10,2,,,431,217,0.665,12,2,,,Notre Dame,ACC,24,12,0.667,19,,Lost Regional Final,2000-01,356,177,0.668,11,3,,,455,229,0.665,13,3,,,Notre Dame,ACC,26,10,0.722,,14,Lost Second Round,2000-01,382,187,0.671,12,3,,,481,239,0.668,14,3,,,Notre Dame,ACC,21,15,0.583,14,,,2000-01,403,202,0.666,12,3,,,502,254,0.664,14,3,,,N,
229,Greg Kampe,Oakland,Horizon,13,20,0.394,,,,1999-00,255,224,0.532,3,,,,255,224,0.532,3,,,,Oakland,Horizon,16,17,0.485,,,,1999-00,271,241,0.529,3,,,,271,241,0.529,3,,,,Oakland,Horizon,23,12,0.657,,,,1999-00,294,253,0.537,3,,,,294,253,0.537,3,,,,Oakland,Horizon,25,9,0.735,,,,1999-00,319,262,0.549,3,,,,319,262,0.549,3,,,,Oakland,Horizon,19,14,0.576,,,,1999-00,338,276,0.55,3,,,,338,276,0.55,3,,,,N,
230,Jim Christian,Ohio,MAC,25,12,0.676,,,,2012-13,49,22,0.69,,,,,242,154,0.611,2,,,,Boston College,ACC,13,19,0.406,,,,2014-15,13,19,0.406,,,,,255,173,0.596,2,,,,Boston College,ACC,7,25,0.219,,,,2014-15,20,44,0.312,,,,,262,198,0.57,2,,,,Boston College,ACC,9,23,0.281,,,,2014-15,29,67,0.302,,,,,271,221,0.551,2,,,,Boston College,ACC,19,16,0.543,,,,2014-15,48,83,0.366,,,,,290,237,0.55,2,,,,N,
231,Thad Matta,Ohio State,Big Ten,25,10,0.714,11,22,Lost Second Round,2004-05,275,83,0.768,8,5,2,,377,114,0.768,12,6,2,,Ohio State,Big Ten,24,11,0.686,20,,Lost Third Round,2004-05,299,94,0.761,9,5,2,,401,125,0.762,13,6,2,,Ohio State,Big Ten,21,14,0.6,,,,2004-05,320,108,0.748,9,5,2,,422,139,0.752,13,6,2,,Ohio State,Big Ten,17,15,0.531,,,,2004-05,337,123,0.733,9,5,2,,439,154,0.74,13,6,2,,,,,,,,,,,,,,,,,,,,,,,,,N,
232,Lon Kruger,Oklahoma,Big 12,23,10,0.697,,21,Lost Second Round,2011-12,58,38,0.604,2,,,,537,342,0.611,15,3,1,,Oklahoma,Big 12,24,11,0.686,19,13,Lost Regional Semifinal,2011-12,82,49,0.626,3,1,,,561,353,0.614,16,4,1,,Oklahoma,Big 12,29,8,0.784,8,7,Lost National Semifinal,2011-12,111,57,0.661,4,2,1,,590,361,0.62,17,5,2,,Oklahoma,Big 12,11,20,0.355,,,,2011-12,122,77,0.613,4,2,1,,601,381,0.612,17,5,2,,Oklahoma,Big 12,18,14,0.562,,,Lost First Round,2011-12,140,91,0.606,5,2,1,,619,395,0.61,18,5,2,,N,
233,Travis Ford,Oklahoma State,Big 12,21,13,0.618,9,,Lost Second Round,2008-09,125,77,0.619,4,,,,248,192,0.564,5,,,,Oklahoma State,Big 12,18,14,0.562,,,Lost Second Round,2008-09,143,91,0.611,5,,,,266,206,0.564,6,,,,Oklahoma State,Big 12,12,20,0.375,,,,2008-09,155,111,0.583,5,,,,278,226,0.552,6,,,,Saint Louis,A-10,12,21,0.364,,,,2016-17,12,21,0.364,,,,,290,247,0.54,6,,,,Saint Louis,A-10,17,16,0.515,,,,2016-17,29,37,0.439,,,,,307,263,0.539,6,,,,Y,2016
234,Jeff Jones,Old Dominion,CUSA,18,18,0.5,,,,2013-14,18,18,0.5,,,,,375,305,0.551,7,2,,,Old Dominion,CUSA,27,8,0.771,,,,2013-14,45,26,0.634,,,,,402,313,0.562,7,2,,,Old Dominion,CUSA,25,13,0.658,,,,2013-14,70,39,0.642,,,,,427,326,0.567,7,2,,,Old Dominion,CUSA,19,12,0.613,,,,2013-14,89,51,0.636,,,,,446,338,0.569,7,2,,,Old Dominion,CUSA,25,7,0.781,,,,2013-14,114,58,0.663,,,,,471,345,0.577,7,2,,,N,
