Coach,School,Conference,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015
Jack Murphy,Northern Arizona,Big Sky,5,25,0.167,,,,2012-13,54,78,0.409,,,,,54,78,0.409,,,,
B.J. Hill,Northern Colorado,Big Sky,10,21,0.323,,,,2010-11,86,98,0.467,1,,,,86,98,0.467,1,,,
Mark Montgomery,Northern Illinois,MAC,21,13,0.618,,,,2011-12,60,97,0.382,,,,,60,97,0.382,,,,
Ben Jacobson,Northern Iowa,MVC,23,13,0.639,,,Lost Second Round,2006-07,220,118,0.651,4,1,,,220,118,0.651,4,1,,
John Brannen,Northern Kentucky,Horizon,9,21,0.3,,,,2015-16,9,21,0.3,,,,,10,22,0.312,,,,
Chris Collins,Northwestern,Big Ten,20,12,0.625,,,,2013-14,49,48,0.505,,,,,49,48,0.505,,,,
Mike McConathy,Northwestern State,Southland,8,20,0.286,,,,1999-00,267,260,0.507,3,,,,267,260,0.507,3,,,
Mike Brey,Notre Dame,ACC,24,12,0.667,19,,Lost Regional Final,2000-01,356,177,0.668,11,3,,,455,229,0.665,13,3,,
Greg Kampe,Oakland,Horizon,23,12,0.657,,,,1999-00,294,253,0.537,3,,,,294,253,0.537,3,,,
Saul Phillips,Ohio,MAC,23,12,0.657,,,,2014-15,33,32,0.508,,,,,167,116,0.59,2,,,
Thad Matta,Ohio State,Big Ten,21,14,0.6,,,,2004-05,320,108,0.748,9,5,2,,422,139,0.752,13,6,2,
Lon Kruger,Oklahoma,Big 12,29,8,0.784,8,7,Lost National Semifinal,2011-12,111,57,0.661,4,2,1,,590,361,0.62,17,5,2,
Travis Ford,Oklahoma State,Big 12,12,20,0.375,,,,2008-09,155,111,0.583,5,,,,278,226,0.552,6,,,
Jeff Jones,Old Dominion,CUSA,25,13,0.658,,,,2013-14,70,39,0.642,,,,,427,326,0.567,7,2,,
Scott Sutton,Oral Roberts,Summit,14,17,0.452,,,,1999-00,320,225,0.587,3,,,,320,225,0.587,3,,,
Dana Altman,Oregon,Pac-12,31,7,0.816,,5,Lost Regional Final,2010-11,154,64,0.706,4,2,,,564,307,0.648,12,2,,
Wayne Tinkle,Oregon State,Pac-12,19,13,0.594,,,Lost First Round,2014-15,36,27,0.571,1,,,,194,118,0.622,4,,,
Ron Verlin,Pacific,WCC,8,20,0.286,,,,2013-14,38,55,0.409,,,,,38,55,0.409,,,,
Patrick Chambers,Penn State,Big Ten,16,16,0.5,,,,2011-12,72,91,0.442,,,,,114,119,0.489,1,,,
Steve Donahue,Penn,Ivy,11,17,0.393,,,,2015-16,11,17,0.393,,,,,211,231,0.477,3,1,,
Marty Wilson,Pepperdine,WCC,18,14,0.562,,,,1995-96,76,91,0.455,,,,,76,91,0.455,,,,
Jamie Dixon,Pitt,ACC,21,12,0.636,,,Lost First Round,2003-04,328,123,0.727,11,3,,,328,123,0.727,11,3,,
Eric Reveno,Portland,WCC,12,20,0.375,,,,2006-07,140,178,0.44,,,,,140,178,0.44,,,,
Tyler Geving,Portland State,Big Sky,13,18,0.419,,,,2009-10,97,117,0.453,,,,,97,117,0.453,,,,
Byron Rimm,Prairie View,SWAC,1,18,0.053,,,,2006-07,115,192,0.375,,,,,115,192,0.375,,,,
Byron Smith,Prairie View,SWAC,6,6,0.5,,,,2015-16,6,6,0.5,,,,,6,6,0.5,,,,
Gregg Nibert,Presbyterian,Big South,11,20,0.355,,,,2007-08,84,193,0.303,,,,,84,193,0.303,,,,
Mitch Henderson,Princeton,Ivy,22,7,0.759,,,,2011-12,96,53,0.644,,,,,96,53,0.644,,,,
Ed Cooley,Providence,Big East,24,11,0.686,,,Lost Second Round,2011-12,103,67,0.606,3,,,,195,136,0.589,3,,,
Matt Painter,Purdue,Big Ten,26,9,0.743,23,12,Lost First Round,2005-06,238,134,0.64,8,2,,,263,139,0.654,9,2,,
Tom Moore,Quinnipiac,MAAC,9,21,0.3,,,,2007-08,152,129,0.541,,,,,152,129,0.541,,,,
Mike Jones,Radford,Big South,16,15,0.516,,,,2011-12,79,85,0.482,,,,,79,85,0.482,,,,
Dan Hurley,Rhode Island,A-10,17,15,0.531,,,,2012-13,62,64,0.492,,,,,100,87,0.535,,,,
Mike Rhoades,Rice,CUSA,12,20,0.375,,,,2014-15,24,40,0.375,,,,,24,40,0.375,,,,
Chris Mooney,Richmond,A-10,16,16,0.5,,,,2005-06,203,162,0.556,2,1,,,221,174,0.559,2,1,,
Kevin Baggett,Rider,MAAC,13,20,0.394,,,,2012-13,67,64,0.511,,,,,67,64,0.511,,,,
Andrew Toole,Robert Morris,NEC,10,22,0.312,,,,2010-11,120,87,0.58,1,,,,120,87,0.58,1,,,
Eddie Jordan,Rutgers,Big Ten,7,25,0.219,,,,2013-14,29,68,0.299,,,,,29,68,0.299,,,,
Brian Katz,Sacramento State,Big Sky,14,17,0.452,,,,2008-09,91,147,0.382,,,,,91,147,0.382,,,,
Anthony Latina,Sacred Heart,NEC,12,18,0.4,,,,2013-14,32,61,0.344,,,,,32,61,0.344,,,,
Rob Krimmel,Saint Francis (PA),NEC,13,17,0.433,,,,2012-13,44,78,0.361,,,,,44,78,0.361,,,,
Phil Martelli,St. Joseph's,A-10,28,8,0.778,,,Lost Second Round,1995-96,403,273,0.596,7,2,,,403,273,0.596,7,2,,
Jim Crews,Saint Louis,A-10,11,21,0.344,,,,2012-13,77,56,0.579,2,,,,430,405,0.515,6,,,
Randy Bennett,Saint Mary's,WCC,29,6,0.829,,,,2001-02,333,151,0.688,5,1,,,333,151,0.688,5,1,,
John Dunne,St. Peter's,MAAC,14,16,0.467,,,,2006-07,116,194,0.374,1,,,,116,194,0.374,1,,,
Jason Hooten,Sam Houston State,Southland,18,16,0.529,,,,2010-11,116,85,0.577,,,,,116,85,0.577,,,,
Scott Padgett,Samford,Southern,14,19,0.424,,,,2014-15,27,38,0.415,,,,,27,38,0.415,,,,
Lamont Smith,San Diego,WCC,9,21,0.3,,,,2015-16,9,21,0.3,,,,,9,21,0.3,,,,
Steve Fisher*,San Diego State,MWC,28,10,0.737,,,,1999-00,367,195,0.653,8,2,,,552,276,0.667,15,6,3,1
Rex Walters,San Francisco,WCC,15,15,0.5,,,,2008-09,127,127,0.5,,,,,158,160,0.497,,,,
Dave Wojcik,San Jose State,MWC,9,22,0.29,,,,2013-14,18,74,0.196,,,,,18,74,0.196,,,,
Kerry Keating,Santa Clara,WCC,11,20,0.355,,,,2007-08,139,159,0.466,,,,,139,159,0.466,,,,
Horace Broadnax,Savannah State,MEAC,16,16,0.5,,,,2005-06,143,195,0.423,,,,,185,283,0.395,,,,
Cameron Dollar,Seattle,WAC,15,17,0.469,,,,2009-10,94,121,0.437,,,,,94,121,0.437,,,,
Kevin Willard,Seton Hall,Big East,25,9,0.735,,20,Lost First Round,2010-11,107,90,0.543,1,,,,152,139,0.522,1,,,
Jimmy Patsos,Siena,MAAC,21,13,0.618,,,,2013-14,52,51,0.505,,,,,197,186,0.514,1,,,
Matthew Graves,South Alabama,Sun Belt,14,19,0.424,,,,2013-14,37,60,0.381,,,,,37,60,0.381,,,,
Frank Martin,South Carolina,SEC,25,9,0.735,,,,2012-13,70,63,0.526,,,,,187,117,0.615,4,1,,
Murray Garvin,South Carolina State,MEAC,19,15,0.559,,,,2012-13,41,65,0.387,,,,,41,65,0.387,,,,
Eddie Payne,USC Upstate,A-Sun,10,22,0.312,,,,2007-08,117,171,0.406,,,,,223,319,0.411,1,,,
Craig Smith,South Dakota,Summit,14,18,0.438,,,,2014-15,31,34,0.477,,,,,31,34,0.477,,,,
Scott Nagy,South Dakota State,Summit,26,8,0.765,,,Lost First Round,2005-06,190,163,0.538,3,,,,190,163,0.538,3,,,
Orlando Antigua,South Florida,AAC,8,25,0.242,,,,2014-15,17,48,0.262,,,,,17,48,0.262,,,,
Rick Ray,Southeast Missouri State,OVC,5,24,0.172,,,,2015-16,5,24,0.172,,,,,42,84,0.333,,,,
Jay Ladner,Southeastern Louisiana,Southland,12,21,0.364,,,,2014-15,21,44,0.323,,,,,21,44,0.323,,,,
Roman Banks,Southern,SWAC,22,13,0.629,,,,2011-12,99,67,0.596,2,,,,99,67,0.596,2,,,
Andy Enfield,USC,Pac-12,21,13,0.618,,,Lost First Round,2013-14,44,54,0.449,1,,,,85,82,0.509,2,1,,
Barry Hinson,Southern Illinois,MVC,22,10,0.688,,,,2012-13,62,67,0.481,,,,,267,207,0.563,,,,
Jon Harris,SIU-Edwardsville,OVC,6,22,0.214,,,,2015-16,6,22,0.214,,,,,6,22,0.214,,,,
Larry Brown*,SMU,AAC,16,5,0.762,,24,,2012-13,85,39,0.685,1,,,,262,100,0.724,8,4,3,1
Tim Jankovich,SMU,AAC,9,0,1,,24,,2015-16,9,0,1,,,,,166,121,0.578,,,,
Doc Sadler,Southern Miss,CUSA,8,21,0.276,,,,2014-15,17,41,0.293,,,,,166,148,0.529,1,,,
Nick Robinson,Southern Utah,Big Sky,6,24,0.2,,,,2012-13,29,90,0.244,,,,,29,90,0.244,,,,
Mark Schmidt,St. Bonaventure,A-10,22,9,0.71,,,,2007-08,146,132,0.525,1,,,,228,222,0.507,1,,,
Glenn Braica,St. Francis (NY),NEC,15,17,0.469,,,,2010-11,98,91,0.519,,,,,98,91,0.519,,,,
Chris Mullin,St. John's (NY),Big East,8,24,0.25,,,,2015-16,8,24,0.25,,,,,8,24,0.25,,,,
Johnny Dawkins,Stanford,Pac-12,15,15,0.5,,,,2008-09,156,115,0.576,1,1,,,156,115,0.576,1,1,,
Brad Underwood,Stephen F. Austin,Southland,28,6,0.824,,,Lost Second Round,2013-14,89,14,0.864,3,,,,89,14,0.864,3,,,
Corey Williams,Stetson,A-Sun,12,22,0.353,,,,2013-14,28,68,0.292,,,,,28,68,0.292,,,,
Steve Pikiell,Stony Brook,AEC,26,7,0.788,,,Lost First Round,2005-06,192,156,0.552,1,,,,192,156,0.552,1,,,
Jim Boeheim*,Syracuse,ACC,19,9,0.679,,,Lost National Semifinal,1976-77,985,342,0.742,32,17,5,1,985,342,0.742,32,17,5,1
Mike Hopkins,Syracuse,ACC,4,5,0.444,,,Lost National Semifinal,2015-16,4,5,0.444,1,1,1,,4,5,0.444,1,1,1,
Fran Dunphy,Temple,AAC,21,12,0.636,,,Lost First Round,2006-07,214,120,0.641,7,,,,524,283,0.649,16,,,
Rick Barnes,Tennessee,SEC,15,19,0.441,,,,2015-16,15,19,0.441,,,,,619,333,0.65,22,6,1,
Heath Schroyer,UT-Martin,OVC,20,15,0.571,,,,2014-15,41,28,0.594,,,,,126,144,0.467,,,,
Dana Ford,Tennessee State,OVC,20,11,0.645,,,,2014-15,25,37,0.403,,,,,25,37,0.403,,,,
Steve Payne,Tennessee Tech,OVC,19,12,0.613,,,,2011-12,79,77,0.506,,,,,79,77,0.506,,,,
Shaka Smart,Texas,Big 12,20,13,0.606,,,Lost First Round,2015-16,20,13,0.606,1,,,,183,69,0.726,6,1,1,
Billy Kennedy,Texas A&M,SEC,28,9,0.757,,15,Lost Regional Semifinal,2011-12,99,70,0.586,1,1,,,310,249,0.555,3,1,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,25,8,0.758,,,,2011-12,75,85,0.469,,,,,293,332,0.469,,,,
Scott Cross,Texas-Arlington,Sun Belt,24,11,0.686,,,,2006-07,177,139,0.56,1,,,,177,139,0.56,1,,,
Trent Johnson,TCU,Big 12,12,21,0.364,,,,2012-13,50,79,0.388,,,,,276,265,0.51,5,2,,
Tim Floyd*,UTEP,CUSA,19,14,0.576,,,,2010-11,122,77,0.613,,,,,449,258,0.635,8,2,,
Dan Hipsher,Texas-Rio Grande Valley,WAC,8,22,0.267,,,,2013-14,27,66,0.29,,,,,168,230,0.422,,,,
Brooks Thompson,UTSA,CUSA,5,27,0.156,,,,2006-07,133,178,0.428,1,,,,133,178,0.428,1,,,
Mike Davis,Texas Southern,SWAC,18,15,0.545,,,,2012-13,76,57,0.571,2,,,,313,209,0.6,7,1,1,
Danny Kaspar,Texas State,Sun Belt,15,16,0.484,,,,2013-14,37,56,0.398,,,,,283,197,0.59,1,,,
Tubby Smith,Texas Tech,Big 12,19,13,0.594,,,Lost First Round,2013-14,46,50,0.479,1,,,,557,276,0.669,18,9,1,1
Tod Kowalczyk,Toledo,MAC,17,15,0.531,,,,2010-11,102,93,0.523,,,,,238,205,0.537,,,,
Pat Skerry,Towson,CAA,20,13,0.606,,,,2011-12,76,88,0.463,,,,,76,88,0.463,,,,
Phil Cunningham,Troy,Sun Belt,9,22,0.29,,,,2013-14,30,61,0.33,,,,,30,61,0.33,,,,
Ed Conroy,Tulane,AAC,12,22,0.353,,,,2010-11,92,103,0.472,,,,,141,179,0.441,,,,
Frank Haith,Tulsa,AAC,20,12,0.625,,,,2014-15,43,23,0.652,1,,,,248,152,0.62,4,,,
Steve Alford,UCLA,Pac-12,15,17,0.469,,,,2013-14,65,40,0.619,2,2,,,450,246,0.647,9,3,,
Larry Krystkowiak,Utah,Pac-12,27,9,0.75,16,13,Lost Second Round,2011-12,95,73,0.565,2,1,,,137,93,0.596,4,1,,
Tim Duryea,Utah State,MWC,16,15,0.516,,,,2015-16,16,15,0.516,,,,,16,15,0.516,,,,
Mark Pope,Utah Valley,WAC,12,18,0.4,,,,2015-16,12,18,0.4,,,,,12,18,0.4,,,,
Bryce Drew,Valparaiso,Horizon,30,7,0.811,,,,2011-12,124,49,0.717,2,,,,124,49,0.717,2,,,
Kevin Stallings,Vanderbilt,SEC,19,14,0.576,18,,,1999-00,332,220,0.601,7,2,,,455,283,0.617,9,2,,
John Becker,Vermont,AEC,23,14,0.622,,,,2011-12,110,63,0.636,1,,,,110,63,0.636,1,,,
Jay Wright,Villanova,Big East,35,5,0.875,11,6,Won National Final,2001-02,354,157,0.693,11,5,2,1,476,242,0.663,13,5,2,1
Tony Bennett,Virginia,ACC,29,8,0.784,6,4,Lost Regional Final,2009-10,165,72,0.696,4,2,,,234,105,0.69,6,3,,
Will Wade,VCU,A-10,25,11,0.694,,,Lost Second Round,2015-16,25,11,0.694,1,,,,65,36,0.644,1,,,
Dan Earl,VMI,Southern,9,21,0.3,,,,2015-16,9,21,0.3,,,,,9,21,0.3,,,,
Buzz Williams,Virginia Tech,ACC,20,15,0.571,,,,2014-15,31,37,0.456,,,,,184,123,0.599,5,3,,
Bashir Mason,Wagner,NEC,23,11,0.676,,,,2012-13,71,55,0.563,,,,,71,55,0.563,,,,
Danny Manning,Wake Forest,ACC,11,20,0.355,,,,2014-15,24,39,0.381,,,,,62,68,0.477,1,,,
Lorenzo Romar,Washington,Pac-12,19,15,0.559,,,,2002-03,289,174,0.624,6,3,,,382,262,0.593,7,3,,
Ernie Kent,Washington State,Pac-12,9,22,0.29,,,,2014-15,22,40,0.355,,,,,347,293,0.542,6,2,,
Randy Rahe,Weber State,Big Sky,26,9,0.743,,,Lost First Round,2006-07,208,113,0.648,3,,,,208,113,0.648,3,,,
Bob Huggins,West Virginia,Big 12,26,9,0.743,,8,Lost First Round,2007-08,201,110,0.646,7,3,1,,719,296,0.708,22,7,2,
Larry Hunter,Western Carolina,Southern,16,18,0.471,,,,2005-06,171,187,0.478,,,,,375,335,0.528,1,,,
Bill Wright,Western Illinois,Summit,10,17,0.37,,,,2014-15,18,37,0.327,,,,,18,37,0.327,,,,
Ray Harper,Western Kentucky,CUSA,18,16,0.529,,,,2011-12,89,64,0.582,2,,,,89,64,0.582,2,,,
Steve Hawkins,Western Michigan,MAC,13,19,0.406,,,,2003-04,237,188,0.558,2,,,,237,188,0.558,2,,,
Gregg Marshall,Wichita State,MVC,26,9,0.743,10,,Lost Second Round,2007-08,230,85,0.73,5,2,1,,424,168,0.716,12,2,1,
Tony Shaver,William & Mary,CAA,20,11,0.645,,,,2003-04,176,225,0.439,,,,,176,225,0.439,,,,
Pat Kelsey,Winthrop,Big South,23,9,0.719,,,,2012-13,76,52,0.594,,,,,76,52,0.594,,,,
Bo Ryan,Wisconsin,Big Ten,7,5,0.583,17,,Lost Regional Semifinal,2001-02,364,130,0.737,15,8,2,,394,157,0.715,15,8,2,
Greg Gard,Wisconsin,Big Ten,15,8,0.652,17,,Lost Regional Semifinal,2015-16,15,8,0.652,1,1,,,15,8,0.652,1,1,,
Mike Young,Wofford,Southern,15,17,0.469,,,,2002-03,232,209,0.526,4,,,,232,209,0.526,4,,,
Billy Donlon,Wright State,Horizon,22,13,0.629,,,,2010-11,109,94,0.537,,,,,109,94,0.537,,,,
Larry Shyatt,Wyoming,MWC,14,18,0.438,,,,1997-98,117,78,0.6,1,,,,187,162,0.536,1,,,
Chris Mack,Xavier,Big East,28,6,0.824,,9,Lost Second Round,2009-10,162,77,0.678,6,3,,,162,77,0.678,6,3,,
James Jones,Yale,Ivy,23,7,0.767,,,Lost Second Round,1999-00,254,239,0.515,1,,,,254,239,0.515,1,,,
Jerry Slocum,Youngstown State,Horizon,11,21,0.344,,,,2005-06,129,211,0.379,,,,,129,211,0.379,,,,
