Coach,School,Conference,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014
Jim Ferry,Duquesne,A-10,12,19,0.387,,,,2012-13,33,58,0.363,,,,,183,207,0.469,2,,,
Jeff Lebo,East Carolina,AAC,14,19,0.424,,,,2010-11,87,80,0.521,,,,,298,236,0.558,,,,
Murry Bartow,ETSU,Southern,16,14,0.533,,,,2003-04,224,165,0.576,3,,,,327,248,0.569,4,,,
Jay Spoonhour,Eastern Illinois,OVC,18,15,0.545,,,,2012-13,40,55,0.421,,,,,46,59,0.438,,,,
Jeff Neubauer,Eastern Kentucky,OVC,21,12,0.636,,,,2005-06,188,134,0.584,2,,,,188,134,0.584,2,,,
Rob Murphy,Eastern Michigan,MAC,21,14,0.6,,,,2011-12,73,65,0.529,,,,,73,65,0.529,,,,
Jim Hayford,Eastern Washington,Big Sky,26,9,0.743,,,Lost Second Round,2011-12,66,63,0.512,1,,,,66,63,0.512,1,,,
Matt Matheny,Elon,CAA,15,18,0.455,,,,2009-10,92,100,0.479,,,,,92,100,0.479,,,,
Marty Simmons,Evansville,MVC,24,12,0.667,,,,2007-08,126,134,0.485,,,,,126,134,0.485,,,,
Sydney Johnson,Fairfield,MAAC,7,24,0.226,,,,2011-12,55,80,0.407,,,,,121,133,0.476,1,,,
Greg Herenda,Fairleigh Dickinson,NEC,8,21,0.276,,,,2013-14,18,42,0.3,,,,,18,42,0.3,,,,
Billy Donovan,Florida,SEC,16,17,0.485,7,,,1996-97,467,186,0.715,14,8,4,2,502,206,0.709,14,8,4,2
Byron Samuels,Florida A&M,MEAC,2,27,0.069,,,,2014-15,2,27,0.069,,,,,77,150,0.339,,,,
Michael Curry,Florida Atlantic,CUSA,9,20,0.31,,,,2014-15,9,20,0.31,,,,,9,20,0.31,,,,
Joe Dooley,Florida Gulf Coast,A-Sun,22,11,0.667,,,,2013-14,44,24,0.647,,,,,101,76,0.571,,,,
Anthony Evans,Florida International,CUSA,16,17,0.485,,,,2013-14,31,33,0.484,,,,,130,127,0.506,1,,,
Leonard Hamilton*,Florida State,ACC,17,16,0.515,,,,2002-03,258,173,0.599,4,1,,,458,383,0.545,7,2,,
Tom Pecora,Fordham,A-10,10,21,0.323,,,,2010-11,44,106,0.293,,,,,199,232,0.462,,,,
Rodney Terry,Fresno State,MWC,15,17,0.469,,,,2011-12,60,74,0.448,,,,,60,74,0.448,,,,
Niko Medved,Furman,Southern,11,22,0.333,,,,2013-14,20,43,0.317,,,,,20,43,0.317,,,,
Tim Craft,Gardner-Webb,Big South,20,15,0.571,,,,2013-14,38,30,0.559,,,,,38,30,0.559,,,,
Paul Hewitt,George Mason,A-10,9,22,0.29,,,,2011-12,66,67,0.496,,,,,322,256,0.557,6,1,1,
Mike Lonergan,George Washington,A-10,22,13,0.629,,,,2011-12,69,60,0.535,1,,,,195,128,0.604,2,,,
John Thompson,Georgetown,Big East,22,11,0.667,,22,Lost Third Round,2004-05,249,115,0.684,8,2,1,,317,157,0.669,10,2,1,
Mark Fox,Georgia,SEC,21,12,0.636,,,Lost Second Round,2009-10,106,89,0.544,2,,,,229,132,0.634,5,,,
Mark Byington,Georgia Southern,Sun Belt,22,9,0.71,,,,2013-14,37,28,0.569,,,,,37,28,0.569,,,,
Ron Hunter,Georgia State,Sun Belt,25,10,0.714,,,Lost Third Round,2011-12,87,47,0.649,1,,,,308,226,0.577,2,,,
Brian Gregory,Georgia Tech,ACC,12,19,0.387,,,,2011-12,55,71,0.437,,,,,227,165,0.579,2,,,
Mark Few,Gonzaga,WCC,35,3,0.921,13,7,Lost Regional Final,1999-00,438,103,0.81,16,5,,,438,103,0.81,16,5,,
Shawn Walker,Grambling,SWAC,2,27,0.069,,,,2014-15,2,27,0.069,,,,,2,27,0.069,,,,
Dan Majerle,Grand Canyon,WAC,17,15,0.531,,,,2013-14,32,30,0.516,,,,,32,30,0.516,,,,
Brian Wardle,Green Bay,Horizon,24,9,0.727,,,,2010-11,95,65,0.594,,,,,95,65,0.594,,,,
Edward Joyner,Hampton,MEAC,17,18,0.486,,,Lost Second Round,2009-10,99,96,0.508,2,,,,99,96,0.508,2,,,
John Gallagher,Hartford,AEC,14,16,0.467,,,,2010-11,68,88,0.436,,,,,68,88,0.436,,,,
Tommy Amaker,Harvard,Ivy,22,8,0.733,25,,Lost Second Round,2007-08,161,79,0.671,4,,,,337,218,0.607,5,1,,
Benjy Taylor,Hawaii,Big West,22,13,0.629,,,,2014-15,22,13,0.629,,,,,61,66,0.48,,,,
Scott Cherry,High Point,Big South,23,10,0.697,,,,2009-10,96,91,0.513,,,,,96,91,0.513,,,,
Joe Mihalich,Hofstra,CAA,20,14,0.588,,,,2013-14,30,37,0.448,,,,,295,240,0.551,2,,,
Milan Brown,Holy Cross,Patriot,14,16,0.467,,,,2010-11,69,83,0.454,,,,,164,203,0.447,1,,,
Kelvin Sampson,Houston,AAC,13,19,0.406,,,,2014-15,13,19,0.406,,,,,438,246,0.64,14,3,1,
Ron Cottrell,Houston Baptist,Southland,12,16,0.429,,,,2008-09,64,150,0.299,,,,,64,150,0.299,,,,
Kevin Nickelberry,Howard,MEAC,16,16,0.5,,,,2010-11,47,110,0.299,,,,,96,154,0.384,,,,
Don Verlin,Idaho,Big Sky,13,17,0.433,,,,2008-09,110,113,0.493,,,,,110,113,0.493,,,,
Bill Evans,Idaho State,Big Sky,7,23,0.233,,,,2012-13,24,65,0.27,,,,,232,288,0.446,1,,,
John Groce,Illinois,Big Ten,19,14,0.576,,,,2012-13,62,42,0.596,1,,,,147,98,0.6,3,1,,
Howard Moore,UIC,Horizon,10,24,0.294,,,,2010-11,49,111,0.306,,,,,49,111,0.306,,,,
Dan Muller,Illinois State,MVC,22,13,0.629,,,,2012-13,58,44,0.569,,,,,58,44,0.569,,,,
Ken Burmeister,Incarnate Word,Southland,18,11,0.621,,,,2013-14,39,17,0.696,,,,,151,132,0.534,1,,,
Tom Crean,Indiana,Big Ten,20,14,0.588,,,Lost Second Round,2008-09,121,111,0.522,3,2,,,311,207,0.6,8,3,1,
Greg Lansing,Indiana State,MVC,15,16,0.484,,,,2010-11,94,71,0.57,1,,,,94,71,0.57,1,,,
Tim Cluess,Iona,MAAC,26,9,0.743,,,,2010-11,118,54,0.686,2,,,,118,54,0.686,2,,,
Fran McCaffery,Iowa,Big Ten,22,12,0.647,,,Lost Third Round,2010-11,96,75,0.561,2,,,,347,252,0.579,7,,,
Fred Hoiberg,Iowa State,Big 12,25,9,0.735,14,9,Lost Second Round,2010-11,115,56,0.673,4,1,,,115,56,0.673,4,1,,
Jon Coffman,Fort Wayne,Summit,16,15,0.516,,,,2014-15,16,15,0.516,,,,,16,15,0.516,,,,
Jason Gardner,IUPUI,Summit,10,21,0.323,,,,2014-15,10,21,0.323,,,,,10,21,0.323,,,,
Wayne Brent,Jackson State,SWAC,11,21,0.344,,,,2013-14,22,41,0.349,,,,,22,41,0.349,,,,
Tony Jasick,Jacksonville,A-Sun,10,22,0.312,,,,2014-15,10,22,0.312,,,,,62,69,0.473,,,,
James Green,Jacksonville State,OVC,12,19,0.387,,,,2008-09,81,130,0.384,,,,,248,292,0.459,1,,,
Matt Brady,James Madison,CAA,19,14,0.576,,,,2008-09,118,116,0.504,1,,,,191,166,0.535,1,,,
Bill Self,Kansas,Big 12,27,9,0.75,5,10,Lost Third Round,2003-04,352,78,0.819,12,7,2,1,559,183,0.753,17,10,2,1
Bruce Weber,Kansas State,Big 12,15,17,0.469,,,,2012-13,62,38,0.62,2,,,,375,193,0.66,10,3,1,
Jimmy Lallathin,Kennesaw State,A-Sun,10,22,0.312,,,,2014-15,10,22,0.312,,,,,10,22,0.312,,,,
Rob Senderoff,Kent State,MAC,23,12,0.657,,,,2011-12,81,54,0.6,,,,,81,54,0.6,,,,
John Calipari*,Kentucky,SEC,38,1,0.974,1,1,Lost National Semifinal,2009-10,190,38,0.833,5,5,4,1,635,178,0.781,16,12,6,1
John Giannini,La Salle,A-10,17,16,0.515,,,,2004-05,175,170,0.507,1,1,,,300,281,0.516,1,1,,
Fran O'Hanlon,Lafayette,Patriot,20,13,0.606,,,Lost Second Round,1995-96,288,309,0.482,3,,,,288,309,0.482,3,,,
Tic Price,Lamar,Southland,15,15,0.5,,,,2013-14,16,19,0.457,,,,,183,141,0.565,2,,,
Brett Reed,Lehigh,Patriot,16,14,0.533,,,,2007-08,145,105,0.58,2,,,,145,105,0.58,2,,,
Dale Layer,Liberty,Big South,8,24,0.25,,,,2009-10,82,113,0.421,1,,,,185,219,0.458,2,,,
Casey Alexander,Lipscomb,A-Sun,14,17,0.452,,,,2013-14,29,32,0.475,,,,,53,68,0.438,,,,
Dan Monson,Long Beach State,Big West,16,17,0.485,,,,2007-08,135,125,0.519,1,,,,305,248,0.552,3,1,,
Jack Perri,LIU-Brooklyn,NEC,12,18,0.4,,,,2012-13,41,52,0.441,1,,,,41,52,0.441,1,,,
Jayson Gee,Longwood,Big South,11,23,0.324,,,,2013-14,19,47,0.288,,,,,19,47,0.288,,,,
Bob Marlin,Louisiana,Sun Belt,22,14,0.611,,,,2010-11,88,77,0.533,1,,,,313,208,0.601,3,,,
Keith Richard,Louisiana-Monroe,Sun Belt,24,14,0.632,,,,2010-11,48,104,0.316,,,,,198,221,0.473,,,,
Johnny Jones,LSU,SEC,22,11,0.667,,,Lost Second Round,2012-13,61,37,0.622,1,,,,266,199,0.572,3,,,
Michael White,Louisiana Tech,CUSA,27,9,0.75,,,,2011-12,101,40,0.716,,,,,101,40,0.716,,,,
Rick Pitino*,Louisville,ACC,27,9,0.75,8,17,Lost Regional Final,2001-02,368,126,0.745,12,7,3,1,722,254,0.74,20,13,7,2
Porter Moser,Loyola (IL),MVC,24,13,0.649,,,,2011-12,56,74,0.431,,,,,161,175,0.479,,,,
Mike Dunlap,Loyola Marymount,WCC,8,23,0.258,,,,2014-15,8,23,0.258,,,,,8,23,0.258,,,,
G.G. Smith,Loyola (MD),Patriot,11,19,0.367,,,,2013-14,22,38,0.367,,,,,22,38,0.367,,,,
